,Industrial Production Index: Argentina,Industrial Production Index: Argentina Weighted,Industrial Production Index: Brazil Weighted,Industrial Production Index: Chile Weighted,Industrial Production Index: Colombia Weighted,Industrial Production Index: Mexico Weighted,Industrial Production Index: Peru Weighted,Industrial Production Index: Uruguay Weighted,Industrial Production Index: Latin America Weighted Average,Industrial Production Index: Brazil,Industrial Production Index: Chile,Industrial Production Index: Colombia,Industrial Production Index: Mexico,Industrial Production Index: Peru,Industrial Production Index: Uruguay,Industrial Production Index: Latin America
1/1/2023,6.25344165,0.78620606,0.105221952,0.028809212,0.055842646,0.806508932,0.053596444,0.008346332,1.844531578,0.26939787,0.46993919,0.79621711,2.80017308,1.0778544,0.57525264,1.748896563
12/1/2022,-2.69948673,-0.295879225,-0.143790918,-0.088544358,0.049422895,0.879548919,-0.243209207,0.01629766,0.173845767,-0.37628956,-1.20754881,0.6707788,2.9841935,-4.64994564,1.14604625,-0.590321741
11/1/2022,0.84282215,0.09237814,0.312875108,-0.368100772,0.174636845,1.024452012,-0.104836069,-0.084521921,1.046883342,0.81876963,-5.02007873,2.37021106,3.47583059,-2.00437323,-5.94355443,-0.78005328
10/1/2022,3.31565431,0.363414725,0.472882101,-0.310842057,0.243705768,0.94954262,0.007949545,-0.059996536,1.666656166,1.23749539,-4.23919676,3.30763023,3.2216729,0.15198829,-4.21893715,0.396615316
9/1/2022,4.07094274,0.446198668,-0.373528938,-0.104607219,0.324158591,1.147185889,0.022028594,0.038723054,1.500158639,-0.97749595,-1.42661063,4.39955428,3.89225045,0.4211673,2.72299276,1.871828707
8/1/2022,7.54032467,0.826462821,0.670916948,-0.370865801,0.516185011,1.145398116,0.028197631,0.132339003,2.948633729,1.75573706,-5.05778759,7.00578062,3.88618477,0.53911385,9.30603628,3.567912809
7/1/2022,5.42201286,0.5942837,-0.136854332,-0.372653525,0.309339246,0.831230866,0.123532682,-0.014790768,1.334087868,-0.35813706,-5.08216819,4.19842275,2.82025672,2.36183598,-1.0400821,1.18887728
6/1/2022,7.2544836,0.795133001,-0.230322608,-0.113171869,0.650224243,1.083917362,0.286615965,0.051367748,2.523763841,-0.60273621,-1.54341348,8.82499163,3.67758868,5.47984459,3.6121636,3.814703201
5/1/2022,11.70849723,1.283318434,-0.109517075,0.116981058,2.199880337,1.058143923,0.091467182,0.17023484,4.810508699,-0.2865976,1.59536237,29.85727735,3.5901428,1.74877189,11.97085937,8.597759059
4/1/2022,4.57371652,0.501305557,-0.03674739,-0.25747912,0.673795703,0.739512586,0.169428274,0.055580665,1.845396274,-0.09616504,-3.51144456,9.14490886,2.50906869,3.23931924,3.90841455,2.823974037
3/1/2022,3.42086092,0.374945972,-0.740069872,0.067916652,0.605683346,0.773334626,0.221199538,0.078134997,1.381145259,-1.93670484,0.92623261,8.22047243,2.62382241,4.22914017,5.49442793,3.282607376
2/1/2022,8.46418815,0.927723556,-0.988857118,-0.234075137,0.555501786,0.727698078,0.139857714,0.162860651,1.29070953,-2.58776156,-3.1922661,7.53939685,2.46898362,2.67395621,11.45230881,3.831257997
1/1/2022,-1.24851259,-0.136844139,-2.131596281,-0.086463876,0.753129537,1.167374316,-0.082422602,0.142942615,-0.373880429,-5.57822037,-1.17917564,10.22164574,3.96074712,-1.5758475,10.0516789,2.093187951
